iter	RMSE
0	0.2107045394
1	0.209698794
2	0.2086901231
3	0.2075703622
4	0.2064395061
5	0.205427957
6	0.2044272479
7	0.2033729455
8	0.2023094607
9	0.201426236
10	0.2004614715
11	0.1994242058
12	0.1982695144
13	0.1973296971
14	0.1962917815
15	0.1953548318
16	0.194340197
17	0.1934000516
18	0.1923539108
19	0.1915334911
20	0.1906209105
21	0.1896862053
22	0.1886149171
23	0.1875403495
24	0.1866537102
25	0.1857432095
26	0.1847578868
27	0.1838580887
28	0.1829692766
29	0.1821740992
30	0.1812932037
31	0.180516286
32	0.1796552718
33	0.1787994526
34	0.1779432959
35	0.177102052
36	0.1762515648
37	0.175499184
38	0.1745937918
39	0.1736186361
40	0.1725666268
41	0.1717357651
42	0.1709160274
43	0.1701820088
44	0.16930963
45	0.1685014728
46	0.1676924361
47	0.1668969907
48	0.1661056799
49	0.1653070876
50	0.1645376759
51	0.1637467512
52	0.162971216
53	0.1620768787
54	0.1612578712
55	0.1604780844
56	0.1597023062
57	0.1589661808
58	0.1582170842
59	0.1573958768
60	0.1566466931
61	0.1558989793
62	0.1551548345
63	0.1543744471
64	0.1536011735
65	0.1528622613
66	0.1521392296
67	0.1514130311
68	0.1507115582
69	0.1498983582
70	0.1492619011
71	0.1486301427
72	0.1479701475
73	0.1472662768
74	0.1464981961
75	0.145764837
76	0.1450592366
77	0.1442872973
78	0.1435776717
79	0.1429019088
80	0.1422175119
81	0.1415476844
82	0.1408986732
83	0.1402261286
84	0.1395294813
85	0.1388795969
86	0.1382389723
87	0.137564549
88	0.1369223729
89	0.1363460848
90	0.1356942772
91	0.1350182962
92	0.1343875447
93	0.1337366684
94	0.133118302
95	0.1324785242
96	0.1318695463
97	0.1313218795
98	0.1306902575
99	0.1300550182
100	0.1294589655
101	0.1288673708
102	0.1283178143
103	0.1277053213
104	0.1270949478
105	0.1264455634
106	0.1258001376
107	0.125200553
108	0.1246042574
109	0.1239897741
110	0.1234243189
111	0.122862523
112	0.1223048523
113	0.1217049468
114	0.12107949
115	0.12050513
116	0.119939172
117	0.1193382003
118	0.1187987289
119	0.1182406683
120	0.1177006653
121	0.1171696872
122	0.116644584
123	0.1161024396
124	0.1155503204
125	0.1150005704
126	0.1144516439
127	0.1139322345
128	0.1133940054
129	0.1128525303
130	0.1123180386
131	0.1117819166
132	0.1112509758
133	0.1107547651
134	0.1102443506
135	0.1097898287
136	0.1092687652
137	0.1088190764
138	0.1082996558
139	0.1078683329
140	0.1073534504
141	0.1068410255
142	0.1063263254
143	0.1058394791
144	0.1053679823
145	0.104940566
146	0.1044396584
147	0.103947195
148	0.1035251995
149	0.1030051892
150	0.1025056283
151	0.1020398579
152	0.1015773094
153	0.1010924165
154	0.1006871297
155	0.1002327418
156	0.09979142307
157	0.09932216285
158	0.09884807335
159	0.09844550631
160	0.09801020149
161	0.09756661093
162	0.09710220733
163	0.09658325746
164	0.09615621234
165	0.09570175117
166	0.09527559265
167	0.0947866711
168	0.09441234691
169	0.09399811903
170	0.09358598686
171	0.09314704726
172	0.09270423038
173	0.0922924569
174	0.09187673288
175	0.09144020547
176	0.09100373832
177	0.09057039469
178	0.09014486892
179	0.08979210811
180	0.08933205006
181	0.08894035001
182	0.08850993609
183	0.08808745568
184	0.08770148849
185	0.08728394056
186	0.08687553117
187	0.08652616757
188	0.08614188158
189	0.0857316983
190	0.08540719907
191	0.08499952917
192	0.08459480803
193	0.08419101587
194	0.08378914829
195	0.08343380547
196	0.08303555507
197	0.08267805587
198	0.08231820921
199	0.08196091706
200	0.08156969037
201	0.08124429143
202	0.08085649213
203	0.08044006796
204	0.08005610742
205	0.07967397961
206	0.07933292718
207	0.07895742882
208	0.07858054229
209	0.07826808334
210	0.07789719431
211	0.0775263584
212	0.07715630572
213	0.07678913672
214	0.07642375481
215	0.07612427363
216	0.07576091147
217	0.07540105964
218	0.07510227085
219	0.07474378895
220	0.07438884384
221	0.07403376731
222	0.07368038564
223	0.07333240676
224	0.07298416778
225	0.07267086431
226	0.07232398811
227	0.07197876765
228	0.07163519422
229	0.07129326076
230	0.07095403265
231	0.07061535076
232	0.07027939278
233	0.0699439314
234	0.06961120584
235	0.06928010089
236	0.06894941002
237	0.06867718399
238	0.06835502679
239	0.06802978192
240	0.0677050587
241	0.06738188547
242	0.06706358501
243	0.06674347315
244	0.06641456305
245	0.06610196448
246	0.06578644328
247	0.06547340799
248	0.06516088657
249	0.06487369763
250	0.06456403927
251	0.06427972438
252	0.06397455766
253	0.0636725243
254	0.06336859846
255	0.06306776307
256	0.06276840832
257	0.06247052681
258	0.06217233959
259	0.0618545959
260	0.06156035443
261	0.06126651148
262	0.06097325769
263	0.06068221709
264	0.06039351724
265	0.06010638658
266	0.05981948378
